a,a,-580
a,b,-253
a,c,-227
a,d,-279
a,e,-316
a,f,-403
a,g,-289
a,h,-436
a,i,-310
a,j,-561
a,k,-374
a,l,-160
a,m,-265
a,n,-161
a,o,-545
a,p,-271
a,q,-556
a,r,-180
a,s,-234
a,t,-157
a,u,-326
a,v,-363
a,w,-411
a,x,-446
a,y,-387
a,z,-434
b,a,-165
b,b,-299
b,c,-421
b,d,-409
b,e,-163
b,f,-504
b,g,-545
b,h,-482
b,i,-162
b,j,-456
b,k,-617
b,l,-135
b,m,-463
b,n,-492
b,o,-183
b,p,-474
b,q,-717
b,r,-194
b,s,-309
b,t,-402
b,u,-216
b,v,-505
b,w,-554
b,x,-783
b,y,-386
b,z,-717
c,a,-148
c,b,-718
c,c,-337
c,d,-651
c,e,-185
c,f,-733
c,g,-757
c,h,-162
c,i,-207
c,j,-981
c,k,-254
c,l,-274
c,m,-652
c,n,-531
c,o,-145
c,p,-670
c,q,-552
c,r,-233
c,s,-406
c,t,-216
c,u,-239
c,v,-890
c,w,-729
c,x,-924
c,y,-304
c,z,-664
d,a,-187
d,b,-450
d,c,-498
d,d,-316
d,e,-109
d,f,-454
d,g,-363
d,h,-426
d,i,-120
d,j,-467
d,k,-619
d,l,-274
d,m,-405
d,n,-336
d,o,-190
d,p,-505
d,q,-725
d,r,-232
d,s,-283
d,t,-525
d,u,-263
d,v,-446
d,w,-424
d,x,-847
d,y,-318
d,z,-630
e,a,-253
e,b,-386
e,c,-264
e,d,-194
e,e,-313
e,f,-368
e,g,-359
e,h,-446
e,i,-356
e,j,-554
e,k,-508
e,l,-231
e,m,-267
e,n,-175
e,o,-337
e,p,-299
e,q,-484
e,r,-130
e,s,-159
e,t,-238
e,u,-353
e,v,-377
e,w,-406
e,x,-342
e,y,-432
e,z,-544
f,a,-196
f,b,-550
f,c,-568
f,d,-566
f,e,-166
f,f,-209
f,g,-607
f,h,-562
f,i,-140
f,j,-692
f,k,-661
f,l,-185
f,m,-557
f,n,-558
f,o,-160
f,p,-592
f,q,-874
f,r,-215
f,s,-396
f,t,-285
f,u,-189
f,v,-783
f,w,-562
f,x,-759
f,y,-306
f,z,-713
g,a,-174
g,b,-477
g,c,-621
g,d,-516
g,e,-138
g,f,-518
g,g,-281
g,h,-256
g,i,-166
g,j,-703
g,k,-619
g,l,-200
g,m,-357
g,n,-259
g,o,-213
g,p,-564
g,q,-858
g,r,-179
g,s,-300
g,t,-471
g,u,-232
g,v,-767
g,w,-472
g,x,-916
g,y,-283
g,z,-703
h,a,-150
h,b,-467
h,c,-547
h,d,-533
h,e,-126
h,f,-481
h,g,-581
h,h,-550
h,i,-146
h,j,-712
h,k,-598
h,l,-321
h,m,-378
h,n,-370
h,o,-146
h,p,-510
h,q,-729
h,r,-253
h,s,-384
h,t,-294
h,u,-284
h,v,-649
h,w,-443
h,x,-942
h,y,-195
h,z,-698
i,a,-224
i,b,-347
i,c,-178
i,d,-254
i,e,-260
i,f,-323
i,g,-313
i,h,-547
i,i,-520
i,j,-642
i,k,-395
i,l,-246
i,m,-299
i,n,-135
i,o,-219
i,p,-314
i,q,-532
i,r,-311
i,s,-177
i,t,-209
i,u,-408
i,v,-299
i,w,-633
i,x,-497
i,y,-673
i,z,-299
j,a,-114
j,b,-622
j,c,-564
j,d,-522
j,e,-136
j,f,-713
j,g,-622
j,h,-531
j,i,-214
j,j,-552
j,k,-579
j,l,-598
j,m,-579
j,n,-478
j,o,-138
j,p,-598
j,q,-713
j,r,-507
j,s,-598
j,t,-598
j,u,-109
j,v,-655
j,w,-622
j,x,-713
j,y,-541
j,z,-713
k,a,-190
k,b,-373
k,c,-495
k,d,-490
k,e,-90
k,f,-398
k,g,-534
k,h,-324
k,i,-136
k,j,-563
k,k,-428
k,l,-246
k,m,-378
k,n,-283
k,o,-258
k,p,-423
k,q,-776
k,r,-338
k,s,-214
k,t,-373
k,u,-321
k,v,-549
k,w,-361
k,x,-776
k,y,-294
k,z,-718
l,a,-162
l,b,-453
l,c,-408
l,d,-359
l,e,-135
l,f,-433
l,g,-442
l,h,-540
l,i,-139
l,j,-749
l,k,-437
l,l,-186
l,m,-401
l,n,-422
l,o,-185
l,p,-397
l,q,-753
l,r,-568
l,s,-339
l,t,-324
l,u,-271
l,v,-421
l,w,-527
l,x,-802
l,y,-180
l,z,-674
m,a,-130
m,b,-256
m,c,-566
m,d,-574
m,e,-134
m,f,-498
m,g,-648
m,h,-585
m,i,-137
m,j,-701
m,k,-650
m,l,-457
m,m,-275
m,n,-376
m,o,-168
m,p,-217
m,q,-788
m,r,-550
m,s,-326
m,t,-565
m,u,-262
m,v,-586
m,w,-574
m,x,-892
m,y,-292
m,z,-720
n,a,-207
n,b,-420
n,c,-234
n,d,-224
n,e,-161
n,f,-347
n,g,-168
n,h,-421
n,i,-192
n,j,-503
n,k,-384
n,l,-401
n,m,-410
n,n,-335
n,o,-199
n,p,-372
n,q,-508
n,r,-388
n,s,-227
n,t,-169
n,u,-350
n,v,-399
n,w,-454
n,x,-633
n,y,-403
n,z,-502
o,a,-349
o,b,-327
o,c,-259
o,d,-288
o,e,-370
o,f,-394
o,g,-261
o,h,-454
o,i,-311
o,j,-611
o,k,-409
o,l,-216
o,m,-222
o,n,-138
o,o,-290
o,p,-233
o,q,-549
o,r,-178
o,s,-229
o,t,-245
o,u,-211
o,v,-303
o,w,-334
o,x,-400
o,y,-452
o,z,-479
p,a,-181
p,b,-521
p,c,-551
p,d,-585
